day   A    mu   sigma   z   Power
1    -0.034905730296609594    0.09040423807539048    0.0341454386785601    0.03122002261022836    1.9375128048493466
2    -0.004341614867473281    0.14908326478922324    0.24631990149744215    0.0015138012922426192    2.0031223411781838
3    0.011796124555203936    0.15186702496301557    0.2379776210610719    0.0012098325720898628    2.027741248599592
4    0.05398894607243963    0.3033844753939511    0.10987977985071604    0.000961698793747275    2.199188434227995
5    0.06708237549928378    0.31175488641006033    0.08785374990605696    0.0012940042204201178    2.30877055732646
6    0.02299302035275374    -0.08144124054955476    0.12344959826286633    0.0012349766526834531    2.059140700491996
7    0.019340714657405167    0.15130862984971852    0.24025328335244697    0.0014016237408149114    2.04137873683837
8    -0.01476432012534182    0.05773481485367152    0.07151565996421981    0.0013277276439901224    1.9406358582579686
9    -0.04629120793636153    0.14746950553224147    0.24782739409581978    0.0012691281357385992    1.934088367429231
10    0.03423235164438832    0.13117328813012316    0.2588380503083239    0.0011087613295170408    2.0612143336031346
11    -0.029032808754272842    0.16472078038695742    0.24319344281977423    0.001664362034995179    1.9624777957698978
12    -0.051813449479865145    0.14708846467190365    0.24992453946308382    0.0015175337108164779    1.9276098824082024
13    -0.04365403061985676    0.14598870545023873    0.2513681963175797    0.0014087382791310844    1.9403670534341786
14    0.039351821597952204    0.2942872736686986    0.11810322490199746    0.0014781286037614404    2.1379497241410252
15    0.008444434384111195    0.15177286241188087    0.24126477211228092    0.0013298034079495171    2.0227250561700316
16    0.00813809900409997    0.14783254050076117    0.2430299386866604    0.0012458460324237897    2.02178639277594
17    0.016238612494388314    0.14471488144393446    0.24022277816298518    0.0011886015648516683    2.035181157771403
18    0.011184504375304789    0.15151070237099445    0.24039497791305864    0.0018659110878003495    2.030876376874082
19    0.0017829655299962332    0.16942795716861142    0.2250015461101704    0.0016674167050903222    2.0130027627186724
20    -0.01728342552900037    -0.005426072550478238    0.005491735153881539    0.0012203379905384663    0.5195580907213649
21    0.009219440202738752    0.15012142556219382    0.23896438614287252    0.00134503343600542    2.0243511540770722
22    0.03852231272599882    0.225253176647161    0.1284837957701227    0.0017740775674863988    2.1274877363211235
23    -0.09566899978744833    0.15790011005078874    0.24634168712679178    0.0008523586741668936    1.850465281427
24    0.00602779360736504    0.14920354168839497    0.24579610523685128    0.0009440782033444049    2.0161109335209755
25    0.010623511610320994    0.15118386860946031    0.2404999863370967    0.002120337601050798    2.0316472140854014
26    0.011337446406597479    0.1505614740331239    0.24463138320546862    0.001493584595577252    2.028409086181286
27    0.00467353295287742    0.030542525453062876    0.02068542942277417    0.0015175895656818845    2.1398222107741622
28    0.04263673406889029    0.12979043071505714    0.2594497034579065    0.0011138202467128474    2.0741419650872936
29    0.04772902631033152    0.24809733672668882    0.12477321469442335    0.0010413477752566497    2.156803218520994
30    0.33130389383408    -0.339200635468351    0.20969257468522162    0.0014229785250772721    2.6261139721472317
31    0.28052505485715257    -0.07728664289022558    0.0528979704451881    0.001478794922823439    4.096510691550538
32    -0.12952140420866223    0.24235472146108616    0.12049431310114386    0.0033478180184850805    1.5849838097591045
33    3.7736545560945753    -0.1825314684734139    0.08863061914025042    0.0013133112047232797    18.97869960364349
34    0.3622401608290634    -0.03292833931501686    0.04927562000854543    0.0015428895527594888    4.885890799691387
35    0.9578784933541953    -0.0810674218417611    0.07451930860220887    0.0016437893634635831    7.107766338190031
36    0.5610507747568851    -0.028579357656171776    0.0671682816528485    0.0012619370532654431    5.28817439012999
37    2.2953987488857974    -0.13039337128754008    0.10740376876652377    0.0008574433252946238    10.519490088476985
38    0.8524025922673619    -0.029886505989036662    0.0729440348607355    0.0008840712874750915    6.63234150206866
39    0.6582621499836667    -0.009360454949466124    0.06623201081404287    0.0012003976872346019    5.8367386922808855
40    0.8009808639506237    -0.02268012957509353    0.07407669821772347    0.00029873850839879344    6.300534653946923
41    0.7830286801178465    -0.022921268909289257    0.07929732036566196    0.0009685219581287147    5.897137933790165
42    0.41828841985581183    0.01734925211771976    0.0561791278583198    0.002355693889463634    5.106153210064616
43    -0.3319337191283832    0.13887944190094698    0.09609064520359151    0.0005424787817002129    0.6258073961190713
44    0.36321417350502155    0.02313669844215814    0.053842002924097895    0.0008828346860380635    4.7293924790579105
45    0.43218840220607635    0.013190646961469262    0.06612180975180727    0.0007468341961093088    4.664203276281797
46    0.40096917148761396    0.019216123823148842    0.06839648464286667    0.0008414677045157488    4.382558342409052
47    0.3055248390658234    0.03527783922898006    0.05254605553442362    0.0010520230660008125    4.349439069948654
48    0.2731169904719831    0.03126668021937002    0.054647463531922444    0.0011769101123788525    4.031474010809824
49    0.31092071850747516    0.03376519943539313    0.06258739008274898    0.0011312118203456265    4.015361908829508
50    0.20209879533215505    0.04512134144550882    0.05005406549850149    0.0011502722863090448    3.6362662056996946
51    0.20910913164403072    0.04346997181099946    0.045236952670236356    0.0012222387600652402    3.8722391657865782
52    0.238997233527881    0.047344670877699654    0.05613860741725006    0.0022843135656483863    3.746653763954828
53    0.13805101509487883    0.05675146812863931    0.03702687742852421    0.001899209908702786    3.5208818433938744
54    0.20946868544780245    0.0571894023413518    0.04908178043863898    0.001343347837269729    3.7260746964232094
55    0.19556672296732058    0.05837467766216549    0.04851203220782229    0.000895138928486933    3.6235917630474646
56    0.19667999146949097    0.05733926782324718    0.04874520936929338    0.0006878287349508386    3.6216711694425796
57    0.1868020857409114    0.06316066925587477    0.05312657544855791    0.0017618648316330688    3.430643958057264
